,id,ini_timestamp,feat_orig_pkts_mean,feat_resp_pkts_mean,feat_orig_bytes_mean,feat_resp_bytes_mean,feat_mean_duration,feat_conn_state_dns_ratio,feat_conn_state_http_ratio,feat_conn_state_ssl_ratio,feat_conn_state_dhcp_ratio,feat_conn_state_unk_ratio,feat_conn_state_irc_ratio,feat_method_dns_ratio,feat_method_http_ratio,feat_method_ssl_ratio,feat_method_dhcp_ratio,feat_method_unk_ratio,feat_method_irc_ratio,feat_proto_tcp_ratio,feat_proto_udp_ratio,feat_proto_icmp_ratio,feat_private_conn_ratio,label,detailed_label
791,192.168.1.132,2018-10-25 23:30:37.400158976,2.5,1.5,117.0,208.5,0.106575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2,Bening,Benign
419,192.168.1.200,2019-02-28 19:11:33.981529856,3.974442538593482,0.007204116638078902,238.49056603773585,0.40823327615780447,1.5426934738421956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990566037735849,0.0009433962264150943,0.0,11660,Malicious,PartOfAHorizontalPortScan
561,192.168.1.200,2019-02-28 23:55:33.981529856,4.009380063102243,0.009550609704101647,240.4553594269634,0.5408032744947557,1.5711439811546006,0.0,0.00017054660185895795,8.527330092947898e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996589067962821,0.0003410932037179159,0.0,11727,Malicious,PartOfAHorizontalPortScan
127,192.168.1.195,2019-09-20 07:36:41.665906944,2.0,0.0,152.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
649,192.168.1.200,2019-03-01 02:51:33.981529856,3.993380855397149,0.0033944331296673455,239.6001357773252,0.1670061099796334,1.5706726676001357,0.0,0.0,0.0,0.0,8.486082824168364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996605566870332,0.00033944331296673454,0.0,11784,Malicious,PartOfAHorizontalPortScan
693,192.168.1.132,2018-10-25 12:36:37.400158976,1.0,1.0,76.0,76.0,0.270346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
112,192.168.1.195,2019-09-20 06:46:41.665906944,2.0,1.0,152.0,76.0,0.002753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,Bening,Benign
106,192.168.1.195,2019-09-20 06:26:41.665906944,2.0,0.0,152.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
2,192.168.1.195,2019-09-20 00:44:41.665906944,8.857142857142858,7.142857142857143,1369.142857142857,484.57142857142856,1.5871707142857143,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,7,Malicious,C&C-HeartBeat
894,192.168.2.3,2018-09-21 10:42:22.965529856,5.888888888888889,6.111111111111111,395.6666666666667,4438.388888888889,33.52463616666667,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2777777777777778,0.05555555555555555,18,Bening,Benign
257,192.168.1.195,2019-09-20 16:28:41.665906944,2.0,2.0,152.0,152.0,0.007746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
532,192.168.1.200,2019-02-28 22:57:33.981529856,4.0956614509246085,0.0021337126600284497,245.75675675675674,0.11948790896159317,1.6361414083392603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994665718349929,0.0005334281650071124,0.0,11248,Malicious,PartOfAHorizontalPortScan
45,192.168.1.195,2019-09-20 03:02:41.665906944,2.0,0.0,152.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
951,0.0.0.0,2018-09-21 12:36:22.965529856,10.0,0.0,3280.0,0.0,58.72503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
619,192.168.1.200,2019-03-01 01:51:33.981529856,4.007106950944705,0.005893569076096377,240.47165886635466,0.31461258450338014,1.5874585783498005,0.0,8.667013347200555e-05,0.0,0.0,8.667013347200555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999479979199168,0.0005200208008320333,0.0,11538,Malicious,PartOfAHorizontalPortScan
891,192.168.2.3,2018-09-21 10:36:22.965529856,3.230769230769231,1.9230769230769231,216.6153846153846,200.30769230769232,23.211113846153847,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.23076923076923078,0.07692307692307693,13,Bening,Benign
763,192.168.1.132,2018-10-25 19:28:37.400158976,1.0,1.0,76.0,76.0,0.017487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
751,192.168.1.132,2018-10-25 17:46:37.400158976,2.5,1.5,117.0,208.5,0.102316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2,Bening,Benign
622,192.168.1.200,2019-03-01 01:57:33.981529856,3.8978822684852834,0.006640344580043073,233.79845656855707,0.3117372577171572,1.4812030290739409,0.0,8.973438621679828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996410624551328,0.0003589375448671931,0.0,11144,Malicious,PartOfAHorizontalPortScan
85,192.168.1.195,2019-09-20 05:20:41.665906944,2.0,2.0,152.0,152.0,0.008484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
50,192.168.1.195,2019-09-20 03:22:41.665906944,2.0,0.0,152.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
397,192.168.1.200,2019-02-28 18:27:33.981529856,3.9960920907314588,0.0054370911562314165,239.7927108996687,0.26794664854302946,1.5585467198198966,0.0,8.495454931611588e-05,8.495454931611588e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996601818027355,0.00033981819726446353,0.0,11771,Malicious,PartOfAHorizontalPortScan
597,192.168.1.200,2019-03-01 01:07:33.981529856,3.980107115531752,0.0042506163393692085,238.8145881152767,0.19229788319306299,1.544319027458982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997449630196379,0.0002550369803621525,0.0,11763,Malicious,PartOfAHorizontalPortScan
79,192.168.1.195,2019-09-20 05:00:41.665906944,2.0,0.0,152.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
590,192.168.1.200,2019-03-01 00:53:33.981529856,3.868928988239519,0.002872789298859862,232.14166442230004,0.15961935541790107,1.4601963343208546,0.0,0.0,8.977466558937069e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996409013376425,0.00035909866235748274,0.0,11139,Malicious,PartOfAHorizontalPortScan
584,192.168.1.200,2019-03-01 00:41:33.981529856,3.9937101572460687,0.004249893752656183,239.63892902677432,0.20263493412664682,1.556849428474288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994900127496813,0.000509987250318742,0.0,11765,Malicious,PartOfAHorizontalPortScan
534,192.168.1.200,2019-02-28 23:01:33.981529856,3.975582301497965,0.002251277166854273,238.53978699454498,0.11083210667590268,1.5415732246081912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997402372499784,0.0002597627500216469,0.0,11549,Malicious,PartOfAHorizontalPortScan
798,192.168.1.132,2018-10-26 00:30:37.400158976,3.0,2.0,137.0,234.5,0.028979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2,Bening,Benign
782,192.168.1.132,2018-10-25 22:16:37.400158976,2.5,1.5,117.0,208.5,0.068333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2,Bening,Benign
439,192.168.1.200,2019-02-28 19:51:33.981529856,3.9862696301381617,0.0017162962327297692,239.19265425212393,0.09954518149832661,1.55036120955977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999485111130181,0.0005148888698189308,0.0,11653,Malicious,PartOfAHorizontalPortScan
525,192.168.1.200,2019-02-28 22:43:33.981529856,3.99162536318578,0.0017091095539224065,239.50846009229193,0.09297555973337891,1.5539372188514784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996581780892155,0.0003418219107844813,0.0,11702,Malicious,PartOfAHorizontalPortScan
457,192.168.1.200,2019-02-28 20:27:33.981529856,3.983132530120482,0.002065404475043029,239.00447504302926,0.11566265060240964,1.5462613372633391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994836488812392,0.0005163511187607573,0.0,11620,Malicious,PartOfAHorizontalPortScan
26,192.168.1.195,2019-09-20 01:54:41.665906944,2.0,2.0,152.0,152.0,0.004247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
69,192.168.1.195,2019-09-20 04:26:41.665906944,2.0,0.0,152.0,0.0,3.5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,Bening,Benign
125,192.168.1.195,2019-09-20 07:30:41.665906944,2.0,0.0,152.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
27,192.168.1.195,2019-09-20 02:02:41.665906944,2.0,2.0,152.0,152.0,0.005248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
490,192.168.1.200,2019-02-28 21:33:33.981529856,3.9847380023740886,0.0023740885195862303,239.09513311853485,0.12141767000169577,1.5506081449889775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996608444972019,0.0003391555027980329,0.0,11794,Malicious,PartOfAHorizontalPortScan
671,192.168.1.200,2019-03-01 03:35:33.981529856,3.9796385848816493,0.003223890727072198,238.79188936964454,0.1533893272249088,1.5437613315517094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999575803851701,0.0004241961482989734,0.0,11787,Malicious,PartOfAHorizontalPortScan
606,192.168.1.200,2019-03-01 01:25:33.981529856,3.8710315675870133,0.0035974458134724347,232.27340588182392,0.17195790988398238,1.4596111653925712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996402554186528,0.00035974458134724346,0.0,11119,Malicious,PartOfAHorizontalPortScan
501,192.168.1.200,2019-02-28 21:55:33.981529856,3.9791274593669805,0.0030795551753635586,238.75859709153121,0.1498716852010265,1.5469761143712575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996578272027374,0.00034217279726261765,0.0,11690,Malicious,PartOfAHorizontalPortScan
553,192.168.1.200,2019-02-28 23:39:33.981529856,3.993674132330313,0.001538724568302274,239.62318345016243,0.08685245341083946,1.559393789793127,8.548469823901521e-05,0.0,8.548469823901521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996580612070439,0.00034193879295606086,0.0,11698,Malicious,PartOfAHorizontalPortScan
455,192.168.1.200,2019-02-28 20:23:33.981529856,3.9759924547714998,0.0018863071250964588,238.56503472519935,0.10151761982337305,1.5451165600617336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996570350681643,0.0003429649318357198,0.0,11663,Malicious,PartOfAHorizontalPortScan
275,192.168.1.195,2019-09-20 17:36:41.665906944,2.0,2.0,152.0,152.0,0.006751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,Bening,Benign
736,192.168.1.132,2018-10-25 16:28:37.400158976,1.0,1.0,76.0,76.0,0.109672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
943,192.168.2.3,2018-09-21 12:20:22.965529856,7.0,7.0,2072.6666666666665,2070.3333333333335,15.964196333333334,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,3,Bening,Benign
668,192.168.1.200,2019-03-01 03:29:33.981529856,3.983063764925057,0.004403421119485138,238.99669743416038,0.20120247269032093,1.5469057907528156,0.0,0.0,8.46811753747142e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994919129477517,0.0005080870522482852,0.0,11809,Malicious,PartOfAHorizontalPortScan
527,192.168.1.200,2019-02-28 22:47:33.981529856,3.979611068277221,0.0020560267283474686,238.76021588280648,0.10896941660241583,1.5541402069733572,0.0,0.0,0.0,8.56677803478112e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996573288786088,0.0003426711213912448,0.0,11673,Malicious,PartOfAHorizontalPortScan
666,192.168.1.200,2019-03-01 03:25:33.981529856,4.101529160739687,0.00302275960170697,246.10028449502133,0.1422475106685633,1.6396456170874822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997332859174964,0.0002667140825035562,0.0,11248,Malicious,PartOfAHorizontalPortScan
911,192.168.2.3,2018-09-21 11:16:22.965529856,2.888888888888889,1.8888888888888888,188.5,200.38888888888889,16.761310611111114,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.3888888888888889,0.05555555555555555,18,Bening,Benign
935,192.168.2.3,2018-09-21 12:04:22.965529856,16.0,17.5,1277.75,17879.25,0.47951150000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,4,Bening,Benign
368,192.168.1.195,2019-09-20 23:20:41.665906944,2.0,2.0,152.0,152.0,0.004483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
841,192.168.1.132,2018-10-26 07:14:37.400158976,1.0,1.0,76.0,76.0,0.109189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
352,192.168.1.195,2019-09-20 22:24:41.665906944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1431751,Malicious,DDoS
548,192.168.1.200,2019-02-28 23:29:33.981529856,4.071239640275084,0.001939693175806736,244.28566390407335,0.10298007406101217,1.6149135399400456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996473285134897,0.00035267148651031563,0.0,11342,Malicious,PartOfAHorizontalPortScan
844,192.168.1.132,2018-10-26 07:30:37.400158976,2.5,2.0,117.0,228.5,0.03085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2,Bening,Benign
959,192.168.2.3,2018-09-21 12:52:22.965529856,4.071428571428571,3.4285714285714284,534.1428571428571,675.7857142857143,22.112887142857144,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,0.07142857142857142,14,Bening,Benign
74,192.168.1.195,2019-09-20 04:44:41.665906944,2.0,0.0,152.0,0.0,2.4999999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,Bening,Benign
164,192.168.1.195,2019-09-20 09:58:41.665906944,2.0,2.0,152.0,152.0,0.004997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
386,192.168.1.195,2019-09-21 00:20:41.665906944,2.0,2.0,152.0,152.0,0.006331000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,Bening,Benign
860,192.168.1.132,2018-10-26 09:42:37.400158976,1.0,1.0,76.0,76.0,0.11668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
759,192.168.1.132,2018-10-25 18:46:37.400158976,2.5,1.5,117.0,208.5,0.0998185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2,Bening,Benign
755,192.168.1.132,2018-10-25 18:16:37.400158976,2.3333333333333335,1.6666666666666667,116.66666666666667,181.66666666666666,0.018902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,3,Bening,Benign
51,192.168.1.195,2019-09-20 03:30:41.665906944,2.0,2.0,152.0,152.0,0.005745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
794,192.168.1.132,2018-10-26 00:08:37.400158976,1.0,1.0,76.0,76.0,0.0632115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,Bening,Benign
198,192.168.1.195,2019-09-20 12:30:41.665906944,2.0,2.0,152.0,152.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
786,192.168.1.132,2018-10-25 22:58:37.400158976,1.0,1.0,76.0,76.0,0.016987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
1,192.168.1.195,2019-09-20 00:42:41.665906944,10.0,8.0,1572.0,540.0,1.8749496666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,Malicious,C&C-HeartBeat
150,192.168.1.195,2019-09-20 09:04:41.665906944,2.0,0.0,152.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
203,192.168.1.195,2019-09-20 12:46:41.665906944,2.0,2.0,152.0,152.0,0.004249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
1013,0.0.0.0,2018-09-21 14:40:22.965529856,10.0,0.0,3280.0,0.0,57.946481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
767,192.168.1.132,2018-10-25 20:00:37.400158976,2.6666666666666665,2.2222222222222223,566.6666666666666,335.0,0.04672277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,9,Bening,Benign
802,192.168.1.132,2018-10-26 01:16:37.400158976,2.5,1.5,117.0,208.5,0.078705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2,Bening,Benign
1003,0.0.0.0,2018-09-21 14:20:22.965529856,10.0,0.0,3280.0,0.0,58.607918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
799,192.168.1.132,2018-10-26 00:42:37.400158976,6.5,6.5,5278.0,377.0,0.1211705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2,Bening,Benign
176,192.168.1.195,2019-09-20 10:52:41.665906944,2.0,2.0,152.0,152.0,0.0052445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,Bening,Benign
484,192.168.1.200,2019-02-28 21:21:33.981529856,4.076499822506213,0.0019524316648917288,244.60418885339013,0.11004614838480653,1.620593330404686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995562655307064,0.00044373446929357475,0.0,11268,Malicious,PartOfAHorizontalPortScan
658,192.168.1.200,2019-03-01 03:09:33.981529856,4.066355715920092,0.0029921675613834376,243.9926075860248,0.14503212179882075,1.6139821027897563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999647980286896,0.00035201971310393383,0.0,11363,Malicious,PartOfAHorizontalPortScan
221,192.168.1.195,2019-09-20 14:06:41.665906944,2.0,0.0,152.0,0.0,2.333333333333333e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,Bening,Benign
181,192.168.1.195,2019-09-20 11:12:41.665906944,2.0,2.0,152.0,152.0,0.007987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
574,192.168.1.200,2019-03-01 00:21:33.981529856,3.9835348597890405,0.002401166280764943,239.02306834748308,0.12074436154703713,1.5475247349283938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999656976245605,0.00034302375439499187,0.0,11661,Malicious,PartOfAHorizontalPortScan
370,192.168.1.195,2019-09-20 23:28:41.665906944,2.0,2.0,152.0,152.0,0.006871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,Bening,Benign
294,192.168.1.195,2019-09-20 18:40:41.665906944,2.0,2.0,152.0,152.0,0.004498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
672,192.168.1.200,2019-03-01 03:37:33.981529856,4.0001730253482135,0.007440089973181071,239.9923868846786,0.41664503849814,1.573067361017389,0.0,8.651267410675664e-05,0.0,8.651267410675664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994809239553595,0.0005190760446405398,0.0,11559,Malicious,PartOfAHorizontalPortScan
425,192.168.1.200,2019-02-28 19:23:33.981529856,4.085220181850597,0.00463540738099483,245.11535032982707,0.22535211267605634,1.6706196223925835,0.0,0.0,0.00017828489926903192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993760028525583,0.0006239971474416117,0.0,11218,Malicious,PartOfAHorizontalPortScan
437,192.168.1.200,2019-02-28 19:47:33.981529856,3.886877016851918,0.0035855145213338113,233.2212262459663,0.1828612405880244,1.4878976907493724,0.0,0.0,0.0,0.0,8.963786303334529e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992828970957333,0.0007171029042667623,0.0,11156,Malicious,PartOfAHorizontalPortScan
213,192.168.1.195,2019-09-20 13:32:41.665906944,2.0,2.0,152.0,152.0,0.007870499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,Bening,Benign
